"lat","lon","location"
"30.2675895690918","-97.7429885864258","AUSTIN, TX"
"38.8487892150879","-77.1992416381836","AUSTIN, VA"
"25.9686107635498","-80.1446380615234","AVENTURA, FL"
"35.3669586181641","-119.018859863281","BAKERSFIELD, CA"
"39.2905807495117","-76.609260559082","BALTIMORE, MD"
"39.8454093933105","-82.6020202636719","BALTIMORE, OH"
"38.1397590637207","-79.073112487793","BALTIMORE, VA"
"36.7467498779297","-95.9790191650391","BARTLESVILLE, OK"
"40.7061386108398","-74.5481491088867","BASKING RIDGE, NJ"
"37.5128211975098","-78.6979446411133","BASKING RIDGE, VA"
"30.4433403015137","-91.1869888305664","BATON ROUGE, LA"
"45.4846801757812","-122.796043395996","BEAVERTON, OR"
"42.4918899536133","-71.2814712524414","BEDFORD, MA"
